Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,threshold,window_size
Completed,0.34,757,2118,59,0.999,1
Completed,0.17,16,1,127,0.797,2898
Completed,0.38,939,2156,64,0.807,1
Completed,0.29,3918,2455,65,0.892,1
Completed,0.16,6517,2798,63,0.787,1
Completed,0.17,14,3979,62,0.654,1762
Completed,0.29,6140,1114,0,0.001,628
Completed,0.3,4676,819,0,0.001,730
Completed,0.17,13,2505,45,0.999,2452
Completed,0.17,14,642,93,0.784,2364
Completed,0.23,424,2067,39,0.562,1
Completed,0.17,18,5000,69,0.674,3884
Completed,0.17,14,2939,127,0.999,1672
Completed,0.31,186,2028,27,0.001,1
Completed,0.17,11,1794,64,0.999,295
Completed,0.17,13,477,0,0.999,1880
Completed,0.17,2498,2295,127,0.999,1
Completed,0.17,17,3644,0,0.477,4413
Completed,0.17,15,4303,50,0.999,3306
Completed,0.19,79,2090,61,0.574,292
Completed,0.17,13,1,72,0.815,1
Completed,0.26,5489,845,1,0.643,1
Completed,0.2,2568,3400,117,0.308,2261
Completed,0.26,3150,541,1,0.635,1
Completed,0.32,342,2056,0,0.254,265
Completed,0.17,18,5000,127,0.981,2944
Completed,0.33,207,2033,0,0.001,472
Completed,0.17,16,1,127,0.753,4178
Completed,0.17,15,5000,127,0.837,2119
Completed,0.17,15,1264,127,0.999,3813
Completed,0.19,432,2119,0,0.347,412
Completed,0.29,232,4806,0,0.789,432
Completed,0.17,15,1559,44,0.999,4162
Completed,0.17,14,3737,127,0.63,2811
Completed,0.17,16,3073,0,0.999,4853
Completed,0.17,16,4059,0,0.888,4480
Completed,0.17,15,525,0,0.674,3276
Completed,0.17,20,1,85,0.279,1760
Completed,0.17,11,3665,0,0.999,183
Completed,0.17,12,4431,0,0.839,651
Completed,0.17,14,3806,127,0.654,5000
Completed,0.17,16,3128,79,0.999,2834
Completed,0.17,14,2617,127,0.719,1936
Completed,0.17,14,5000,0,0.402,2659
Completed,0.17,19,1,127,0.001,5000
Completed,0.17,15,303,92,0.55,5000
Completed,0.17,14,1,91,0.4,3338
Completed,0.17,14,1759,83,0.999,2927
Completed,0.17,14,4834,0,0.999,1437
Completed,0.17,18,597,0,0.41,5000
Completed,0.17,14,4056,127,0.93,2340
Completed,0.17,19,2390,127,0.566,5000
Completed,0.17,82,2117,31,0.539,139
Completed,0.17,15,2287,127,0.999,1734
Completed,0.17,16,3325,0,0.407,5000
Completed,0.17,15,1540,0,0.54,5000
Completed,0.17,13,3960,0,0.695,1250
Completed,0.17,14,1686,0,0.632,4067
Completed,0.17,16,148,0,0.985,4199
Completed,0.17,17,4387,0,0.582,3569
Completed,0.17,16,1265,127,0.72,2462
Completed,0.17,18,1,0,0.001,5000
Completed,0.17,14,1,0,0.36,1
Completed,0.17,15,355,0,0.851,3685
Completed,0.17,11,5000,0,0.83,464
Completed,0.17,16,2071,0,0.789,5000
Completed,0.17,14,1035,0,0.611,2012
Completed,0.26,136,2019,50,0.001,338
Completed,0.17,14,2618,0,0.736,3798
Completed,0.17,15,2824,127,0.27,4318
Completed,0.17,14,4490,127,0.473,3104
Completed,0.17,14,1,0,0.999,1152
Completed,0.17,17,2630,0,0.489,4186
Completed,0.17,17,2592,0,0.821,5000
Completed,0.17,15,4529,127,0.654,4447
Completed,0.17,15,4349,127,0.868,5000
Completed,0.17,14,4509,0,0.999,3516
Completed,0.17,16,2266,0,0.781,2556
Completed,0.17,14,3581,17,0.752,4038
Completed,0.17,14,4046,0,0.999,3703
Completed,0.11,13,1,65,0.642,3056
Completed,0.17,12,1676,53,0.999,507
Completed,0.17,13,214,127,0.916,720
Completed,0.17,11,1770,51,0.999,152
Completed,0.17,14,1488,127,0.398,5000
Completed,0.17,15,2929,0,0.439,4961
Completed,0.33,488,2085,0,0.087,473
Completed,0.17,17,1264,127,0.824,3822
Completed,0.17,14,3680,127,0.617,1826
Completed,0.28,100,2011,0,0.001,712
Completed,0.27,299,2123,0,0.465,328
Completed,0.16,131,2083,0,0.59,331
Completed,0.17,137,2103,0,0.562,543
Completed,0.31,768,2139,0,0.001,862
Completed,0.17,16,1393,57,0.999,2312
Completed,0.17,22,1,0,0.001,1537
Completed,0.2,38,2004,0,0.302,1
Completed,0.17,19,273,127,0.572,3923
Completed,0.17,16,983,0,0.999,1855
Completed,0.17,16,4408,127,0.654,1959
Completed,0.17,15,2943,0,0.553,1900
Completed,0.17,14,645,127,0.517,2205
