Status,ACCURACY,RUNTIME,recent_samples_size,feature_id,threshold,window_size
Completed,0.57,34,2145,5,0.974,3176
Completed,0.58,515,2067,7,0.289,1528
Completed,0.58,6864,681,2,0.001,4433
Completed,0.6,349,2050,6,0.504,5000
Completed,0.61,30,287,3,0.999,4694
Completed,0.61,29,3711,3,0.999,5000
Completed,0.62,654,862,3,0.684,4704
Completed,0.57,33,4683,6,0.907,1617
Completed,0.61,29,3257,3,0.999,5000
Completed,0.57,38,286,2,0.999,4899
Completed,0.57,45,3874,4,0.772,2273
Completed,0.57,45,1570,1,0.439,2834
Completed,0.57,6628,839,7,0.571,186
Completed,0.57,41,3692,2,0.156,4614
Completed,0.57,59,275,3,0.92,1192
Completed,0.61,2633,2279,5,0.04,3215
Completed,0.57,54,2124,2,0.671,3807
Completed,0.61,3522,432,4,0.288,1769
Completed,0.57,45,2503,1,0.985,3746
Completed,0.57,42,1412,6,0.821,4832
Completed,0.72,6045,4342,3,0.405,356
Completed,0.59,3741,4077,6,0.653,3297
Completed,0.73,5234,1382,3,0.074,1514
Completed,0.63,1583,1174,5,0.94,4178
Completed,0.57,50,487,1,0.537,4383
Completed,0.57,57,4772,2,0.87,3073
Completed,0.57,4877,2390,0,0.785,595
Completed,0.6,188,19,6,0.17,2620
Completed,0.62,1104,2950,3,0.62,1940
Completed,0.57,1275,3478,7,0.902,1696
Completed,0.57,50,705,2,0.324,3508
Completed,0.57,33,1849,4,0.69,859
Completed,0.57,51,3920,1,0.022,4038
Completed,0.57,50,1756,2,0.975,2492
Completed,0.62,7057,690,4,0.108,4530
Completed,0.65,2554,2847,5,0.842,1078
Completed,0.74,1243,227,3,0.705,1
Completed,0.63,875,575,3,0.549,3145
Completed,0.61,30,4095,3,0.999,4061
Completed,0.57,44,776,2,0.796,3168
Completed,0.63,1246,2845,3,0.376,4912
Completed,0.57,38,3673,1,0.128,1342
Completed,0.63,2123,2119,4,0.999,1
Completed,0.57,40,2144,1,0.999,4662
Completed,0.56,48,2153,6,0.999,464
Completed,0.57,42,2842,2,0.999,4067
Completed,0.57,37,311,5,0.993,1633
Completed,0.6,1286,2159,6,0.315,1018
Completed,0.63,794,2062,4,0.001,1
Completed,0.57,40,4520,5,0.987,4654
Completed,0.57,44,3872,4,0.999,4162
Completed,0.57,1239,2446,5,0.84,4611
Completed,0.57,37,4515,1,0.406,3545
Completed,0.58,43,1,6,0.582,3768
Completed,0.57,679,1603,7,0.968,465
Completed,0.57,36,1,1,0.999,2755
Completed,0.61,28,1882,3,0.999,3908
Completed,0.57,49,1,0,0.513,5000
Completed,0.57,39,1941,6,0.999,5000
Completed,0.59,58,1,5,0.001,5000
Completed,0.58,6262,244,5,0.999,1
Completed,0.6,27,3818,3,0.999,305
Completed,0.57,43,4486,6,0.999,5000
Completed,0.61,28,3820,3,0.999,3245
Completed,0.61,44,2620,3,0.999,3763
Completed,0.61,33,394,3,0.999,3485
Completed,0.59,41,1,5,0.544,2156
Completed,0.59,75,1,4,0.001,5000
Completed,0.61,37,4634,3,0.999,5000
Completed,0.63,255,2202,3,0.597,3129
Completed,0.57,2143,2182,7,0.001,5000
Completed,0.63,415,377,3,0.606,3023
Completed,0.63,784,2651,3,0.616,3840
Completed,0.62,30,1,3,0.492,2657
Completed,0.63,2329,3593,3,0.587,4995
Completed,0.57,28,1,0,0.999,1
Completed,0.59,25,1,4,0.001,1
Completed,0.61,27,2331,3,0.999,3869
Completed,0.71,31,1,3,0.178,1168
Completed,0.61,29,1577,3,0.999,3552
Completed,0.59,3838,323,6,0.001,5000
Completed,0.63,1384,3023,3,0.657,5000
Completed,0.61,22,1,3,0.999,405
Completed,0.65,6107,4556,5,0.86,921
Completed,0.59,45,1,5,0.594,3882
Completed,0.61,32,3796,3,0.999,2292
Completed,0.57,47,446,5,0.999,4115
Completed,0.57,38,3718,5,0.999,3923
Completed,0.61,29,1158,3,0.999,2983
Completed,0.61,32,752,3,0.999,3927
Completed,0.71,502,117,3,0.249,1786
Completed,0.61,30,1923,3,0.999,5000
Completed,0.61,30,4996,3,0.999,2309
Completed,0.57,36,3992,5,0.999,3699
Completed,0.57,38,1499,2,0.999,2091
Completed,0.61,32,3310,3,0.999,2733
Completed,0.57,45,361,1,0.999,4978
Completed,0.57,40,1118,2,0.999,4143
Completed,0.57,42,788,7,0.999,4325
Completed,0.63,358,2189,3,0.539,2127
Completed,0.57,40,3309,1,0.555,5000
Completed,0.57,45,1545,7,0.999,3249
Completed,0.57,47,4036,1,0.548,1721
Completed,0.61,29,4365,3,0.999,3294
Completed,0.6,3284,2150,6,0.001,1
Completed,0.57,518,2035,7,0.999,1
Completed,0.57,39,3342,1,0.999,1624
Completed,0.57,36,3214,2,0.999,2835
Completed,0.61,33,2843,3,0.999,3430
Completed,0.57,41,1231,1,0.636,1847
Completed,0.57,51,4684,1,0.999,3961
Completed,0.61,35,3652,3,0.999,2586
Completed,0.57,2898,3543,7,0.999,82
Completed,0.71,9,1,3,0.714,1
Completed,0.62,252,239,3,0.626,2317
Completed,0.57,30,5000,5,0.999,589
Completed,0.57,43,1,0,0.455,1093
Completed,0.57,2675,239,0,0.001,1978
Completed,0.61,29,2192,3,0.999,2822
Completed,0.57,38,3645,7,0.999,5000
Completed,0.63,301,281,3,0.63,5000
Completed,0.57,36,1765,1,0.736,5000
Completed,0.57,38,3362,6,0.999,4013
Completed,0.6,477,2067,5,0.544,3618
Completed,0.59,4592,1864,6,0.63,3016
Completed,0.59,48,1,4,0.058,1127
Completed,0.57,27,1,1,0.999,1
